Album,Tên bài hát,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
Anh Có Biết Đâu (Single),Anh Có Biết Đâu,,,"Fong, Zxdiac","Fong, Zxdiac","Việt Nam, Rock Việt",Fong
UỐNG NHẦM (Single),UỐNG NHẦM,214,9K,"Nhật Hoàng, Hennessy","Nhật Hoàng, Hennessy","Việt Nam, Rock Việt",Yin Yang Media
Mây Mù (EP),Mây Mù,,,KoQuet,KoQuet,"Việt Nam, Rock Việt",LOOPS Music
Cân Bằng,Bông Hồng Xanh,,,Bức Tường,Trần Tuấn Hùng,"Việt Nam, Rock Việt",Universal Music Group
Hát cho ngày có nhau (EP),Ngày đầu,10,2K,"Pink Frog, Flower",Pink Frog,"Việt Nam, Rock Việt",VIVI ENM
Đi Chơi Show (Single),Đi Chơi Show,441,23K,ĐÁ SỐ TỚI,ĐÁ SỐ TỚI,"Việt Nam, Rock Việt",LOOPS Music
Southside Overkill (Single),Southside Overkill,913,36K,"Lăng LD, District 105","Lăng LD, District 105","Việt Nam, Rock Việt",MIXUS
Xì Dzách (Single),Xì Dzách,116,2K,"The Flob, CHIN",The Flob,"Việt Nam, Rock Việt",LOOPS Music
Its Burning Time (Single),Its Burning Time,23,2K,"Soulient, Catchellers, Billis",Soulient,"Việt Nam, Rock Việt",Yin Yang Media
Cân Bằng,Mùa Hè Đi Qua,,,Bức Tường,Vũ Văn Hà,"Việt Nam, Rock Việt",Universal Music Group
Nếu Chỉ Sống Một Ngày (Single),Nếu Chỉ Sống Một Ngày,,,MTV Band,,"Việt Nam, Rock Việt",RouteNote
Sugar Rush,Tái chế con tim,,,Mèow Lạc,Lê Đức Nguyên,"Việt Nam, Rock Việt",Believe
Kíp Đào Hoa,Chơi Đi! Chơi! Đi Chơi!,499,25K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",Yin Yang Media
TRAUMATIZED (EP),Một Tình Ca Nữa,152,9K,"Thỏ Trauma, Thắng",Thắng,"Việt Nam, Rock Việt",DAO Music Entertainment
Nhạc Chơi (Single),Nhạc Chơi,270,16K,The Flob,The Flob,"Việt Nam, Rock Việt",LOOPS Music
"BÀI HÁT CỦA CHÚNG TA (OUR SONG VIETNAM), TẬP 1 (EP)",HOANG MANG (feat. Hoàng…,,,"OUR SONG VIETNAM, Hoàng Hải, LyLy",Võ Hoài Phúc,"Việt Nam, V-Pop, Rock Việt",Warner Music Vietnam
Bông So Đũa Trắng,Vĩnh BIệt Tình Tôi,439,22K,Kim Tuyến,Đinh Thiên Hương,"Việt Nam, V-Pop, Rock Việt",VIEENT Music
Live at Ride 2 Rock (Take Me to Hạ Long),Cô Đôi Thượng Ngàn (Live…,170,14K,Ngũ Cung,Nhạc Chầu Văn Cổ,"Việt Nam, Rock Việt",Believe
Cân Bằng,Ta Sẽ Trở Lại,,,Bức Tường,Trần Tuấn Hùng,"Việt Nam, Rock Việt",Universal Music Group
Di Sản,Cô Đôi Thượng Ngàn,55,2K,Ngũ Cung,Nhạc Chầu Văn Cổ,"Việt Nam, Rock Việt",Believe
Duyên Phận,Ngày Em Ra Đi,265,15K,"Mỹ Hạnh, Kim Tuyến",DCN,"Việt Nam, V-Pop, Rock Việt",VIEENT Music
Đứng Yên (Single),Đứng Yên,18,1K,THEMÈO,Ngô Đức Thịnh,"Việt Nam, Rock Việt",TECHBEAT Music
Cút Đi (Single),Cút Đi,,,"Fong, Deus","Fong, Deus Tiến Đạt","Việt Nam, Rock Việt",Euphoria Media Vietnam
Cân Bằng,Tự Do,,,Bức Tường,Phạm Anh Khoa,"Việt Nam, Rock Việt",Universal Music Group
RED,Bay Qua Biển Đông,70,6K,Ngũ Cung,Lê Việt Khánh,"Việt Nam, Rock Việt",Believe
Hát cho ngày có nhau (EP),Đền nhau,6,2K,"Pink Frog, Flower",Pink Frog,"Việt Nam, Rock Việt",VIVI ENM
Nhớ Em (Single),Nhớ Em,306,20K,Do It DAD,Do It DAD,"Việt Nam, Rock Việt",LOOPS Music
Cân Bằng,Hoa Mặt Trời,,,Bức Tường,Trần Tuấn Hùng,"Việt Nam, Rock Việt",Universal Music Group
Em Với Anh (Single),Em Với Anh,,,"Catchellers, Huy Vũ, Soulient, Billis",,"Việt Nam, Rock Việt",Universal Music Group
Bông So Đũa Trắng,Tình Yêu Màu Đen Bạc,430,18K,Kim Tuyến,Nguyễn Quang,"Việt Nam, V-Pop, Rock Việt",VIEENT Music
"BÀI HÁT CỦA CHÚNG TA (OUR SONG VIETNAM), TẬP 1 (EP)",HƯƠNG ĐÊM BAY XA (feat.…,,,"OUR SONG VIETNAM, LyLy",Châu Đăng Khoa,"Việt Nam, V-Pop, Rock Việt",Warner Music Vietnam
ngày mùa đông (Single),ngày mùa đông,,,Chillies,Trần Duy Khang,"Việt Nam, Rock Việt",Warner Music Vietnam
Lâu Đài Cát (Single),Lâu Đài Cát,237,15K,Thỏ Trauma,Thắng,"Việt Nam, Rock Việt",DAO Music Entertainment
Cân Bằng,Tha Thứ,,,Bức Tường,Trần Tuấn Hùng,"Việt Nam, Rock Việt",Universal Music Group
Cuối Ngày (Móng Vuốt Original Soundtrack) (Single),Cuối Ngày (Móng Vuốt…,,,The Flob,,"Việt Nam, Rock Việt",Universal Music Group
,MEDUSA,,,"ĐÁ SỐ TỚI, Juan Phi",ĐÁ SỐ TỚI,"Việt Nam, Rock Việt",MIXUS
Kíp Đào Hoa,Trúc Mai (feat. tú tú),237,17K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",Yin Yang Media
Khắc Tên Huyền Thoại (AOGW24 Theme Song) (Single),Khắc Tên Huyền Thoại…,98,3K,"Garena Liên Quân Mobile, MONOCYCLE, SlimV","Garena Liên Quân Mobile, CHARLES.","Việt Nam, Rock Việt",TECHBEAT Music
Đôi Mắt Pleiku (Single),Đôi Mắt Pleiku,69,1K,ARO Entertainment,Nguyễn Cường,"Việt Nam, Rock Việt",BT2K Production
RED,Lá Đỏ,49,8K,Ngũ Cung,Hoàng Hiệp,"Việt Nam, Rock Việt",Believe
Kíp Đào Hoa,Ánh Sáng (feat.…,166,18K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",Yin Yang Media
Nắng Mới,Hát Về Anh,148,10K,Ban Nhạc Thủy Triều Đỏ,Thế Hiển,"Việt Nam, Rock Việt",Believe
RED,Giấc Mơ Chapi,51,7K,Ngũ Cung,Trần Tiến,"Việt Nam, Rock Việt",Believe
Đừng Yêu Bằng Lời Hứa (Single),Đừng Yêu Bằng Lời Hứa,,,Luke D,Tuno,"Việt Nam, V-Pop, Rock Việt",Sony Music Entertainment
7OVE (Sinh nhật Liên Quân 7 tuổi) (Single),7OVE (Sinh nhật Liên Quân…,57,1K,"Garena Liên Quân Mobile, 7UPPERCUTS","Garena Liên Quân Mobile, 7UPPERCUTS","Việt Nam, Rock Việt",TECHBEAT Music
Bất Thình Lình (Single),Bất Thình Lình,,,Chạm,Lê Đình Thông,"Việt Nam, Rock Việt",Ingrooves Music Group
Nắng Mới,Ánh Sáng Nơi Núi Rừng,65,3K,Ban Nhạc Thủy Triều Đỏ,Lê Văn Hiếu,"Việt Nam, Rock Việt",Believe
Kíp Đào Hoa,Bạc Đầu,117,8K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",Yin Yang Media
Tình Lơ (Single),Tình Lơ,129,8K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",DAO Music Entertainment
Kíp Đào Hoa,Tiếc,89,7K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",Yin Yang Media
TRAUMATIZED (EP),Nhức Cả Đầu,3,279,Thỏ Trauma,Thắng,"Việt Nam, Rock Việt",DAO Music Entertainment
Cân Bằng,Tình Yêu Bất Tử,,,Bức Tường,Trần Tuấn Hùng,"Việt Nam, Rock Việt",Universal Music Group
Kíp Đào Hoa,Bài Thánh Ca Khó,603,25K,Jaigon Orchestra,Jaigon Orchestra,"Việt Nam, Rock Việt",Yin Yang Media
Từng quen (Single),Từng quen,18,559,Pamelaa,FELIPE DOS SANTOS VIEIRA,"Việt Nam, Rock Việt",FUGA
Công Bằng Cho Người Buồn (EP),Công Bằng Cho Người Buồn,741,49K,"Jaigon Orchestra, Chi Xê","Jaigon Orchestra, Chi Xê","Việt Nam, Rock Việt",DAO Music Entertainment
Từ Vực Thẳm Đến Rìa Ánh Sáng,Treo (2am),,,The Cassette,Trần Hoài Thân,"Việt Nam, Rock Việt",Warner Music Vietnam
Tàu Biển (Single),Tàu Biển,,,KoQuet,KoQuet,"Việt Nam, Rock Việt",LOOPS Music
Mãi Mãi In My Mind (Single),Mãi Mãi In My Mind,154,9K,18.18,18.18,"Việt Nam, Rock Việt",DAO Music Entertainment
Đôi Khi (Single),Đôi Khi,1K,36K,Phách Ca,Phách Ca,"Rock Việt, Việt Nam",MIXUS
Di Sản,Sống Khác Đi,9,848,"Ngũ Cung, Nguyễn Đức Cường",Trần Thắng,"Việt Nam, Rock Việt",Believe
Khùng (Single),Khùng,159,6K,"18.18, DÍNH","18.18, DÍNH","Việt Nam, Rock Việt",LOOPS Music
Đang Trường (Single),Đang Trường,53,3K,Do It DAD,Do It DAD,"Việt Nam, Rock Việt",LOOPS Music
Nghe Tiếng Đêm,Dấu Chấm,28,4K,KoQuet,"Tan Ho, Tuan Huynh, Hoàng Trần","Việt Nam, Rock Việt",FUGA
Hoa Lạc Vô Ngân / 花落无痕（《白月梵星》影视剧片头曲 (EP),Hoa Lạc Vô Ngân /…,,,萨顶顶,萨顶顶,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Saddle of My Heart…,,,Teloupe,HWANG YONG JU,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Hắc Nguyệt Quang (Trường Nguyệt Tẫn Minh OST) / 电视剧《长月烬明》片尾曲 (Single),Hắc Nguyệt Quang (Trường…,,,"Mao Bất Dịch / 毛不易, Trương Bích Thần / 張碧晨",谭旋,"Hoa Ngữ, Nhạc Phim",Taihe Music Group
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Đi Đến Nơi Có Gió /…,,,Úc Khả Duy / 郁可唯,汪拾米,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Bỉ Ngạn / 彼岸…,,,"Tỉnh Lung / 井朧, Tỉnh Địch / 井迪",陳恬,"Hoa Ngữ, Nhạc Phim",Rock Mobile
《白月梵星》影视原声带,当爱（《白月梵星》影视剧白…,,,黄霄雲,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Lồng (Cô Gái Mất Tích OST) / 笼 (电影《消失的她》片尾主题曲) (Single),Lồng (Cô Gái Mất Tích OST)…,,,Trương Bích Thần / 張碧晨,钱雷,"Hoa Ngữ, Nhạc Phim",Believe
《白月梵星》影视原声带,相拥不放（《白月梵星》影视…,,,Châu Thâm / 周深,萨顶顶,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Tìm Một Mình Nàng / 寻一个你 (电视剧《苍兰诀》温情主题曲) (Single),Tìm Một Mình Nàng /…,,,Lưu Vũ Ninh / 摩登兄弟刘宇宁,胡宸@觉生自在,"Hoa Ngữ, Nhạc Phim",Believe
《白月梵星》影视原声带,不要想念（《白月梵星》影视…,,,"白鹿, 敖瑞鹏",衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
《白月梵星》影视原声带,爱不悔（《白月梵星》影视剧…,,,井胧,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
《白月梵星》影视原声带,月光曲（《白月梵星》影视剧…,,,陆虎,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
《白月梵星》影视原声带,月下（《白月梵星》影视剧插…,,,不才,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Đưa Nôi / 搖籃謠…,,,斯斯與帆,汪拾米,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Mất Đi Ký Ức / 失憶…,,,Ngu Thư Hân / Esther Yu,陳帥,"Hoa Ngữ, Nhạc Phim",Rock Mobile
魚躍而上 (電視劇《與君初相識》自由主題曲) (Single),Cá Nhảy Lên Bờ / 魚躍而上…,,,Tát Đỉnh Đỉnh / 薩頂頂,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,A Beautiful Smile…,,,金玟岐,Lilien,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,Ngay Tại Chốn Giang Hồ /…,,,Lưu Vũ Ninh / 摩登兄弟刘宇宁,严艺丹,"Hoa Ngữ, Nhạc Phim",Believe
Dư Tình (Thương Lan Quyết OST) / 余情 (电视剧《苍兰诀》苍兰主题曲) (Single),Dư Tình (Thương Lan Quyết…,,,Châu Thâm / 周深,藤原育郎,"Hoa Ngữ, Nhạc Phim",Believe
Thế Gian Mà Ta Yêu (Trường Nguyệt Tẫn Minh OST) / 我爱的这个世界,Thế Gian Mà Ta Yêu…,,,Lưu Vũ Ninh / 摩登兄弟刘宇宁,谭旋,"Hoa Ngữ, Nhạc Phim",Taihe Music Group
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,Một Bình Rượu Liên Hoa /…,,,Hồ Hạ / 胡夏,严艺丹,"Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Phút Chốc / 一晌,,,Châu Thâm / 周深,刘祎,"Hoa Ngữ, Nhạc Phim",Believe
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Đi Đến Nơi Có Gió (Acoustic…,,,Úc Khả Duy / 郁可唯,汪拾米,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Mỗi Ngày / 日日…,,,陳粒,薩吉,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Đêm Và Ngày (Single) / 夜与昼 (影视剧《惜花芷》插曲) (Single),Đêm Và Ngày / 夜与昼…,,,"Lưu Chí Giai / 刘至佳, Đô Trí Văn / 都智文",Đô Trí Văn / 都智文,"Hoa Ngữ, Nhạc Phim",Believe
鮫人之歌 (電視劇《與君初相識》片尾曲) (Single),Khúc Hát Giao Nhân /…,,,Châu Thâm / 周深,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,Nhân Thế Quá Vội Vàng /…,,,严艺丹,严艺丹,"Hoa Ngữ, Nhạc Phim",Believe
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Gió / 風…,,,牛駿峰,金大洲,"Hoa Ngữ, Nhạc Phim",Rock Mobile
如你所想 (電視劇《與君初相識》愛情主題曲) (Single),Như Nàng Nghĩ / 如你所想…,,,Mao Bất Dịch / 毛不易,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Ta Vẫn Nhớ Ngày Hôm Ấy /…,,,Thẩm Dĩ Thành / 沈以誠,Đô Trí Văn / 都智文,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Hoa Lạc Vô Ngân / 花落无痕（《白月梵星》影视剧片头曲 (EP),Hoa Lạc Vô Ngân (Beat) /…,,,萨顶顶,萨顶顶,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
《永夜星河》影视原声大碟,凝眸,,,Trương Viễn / 张远,,"Hoa Ngữ, Nhạc Phim",Believe
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Thật Tốt / 好好的…,,,薩吉,薩吉,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,Sơn Ngoại / 山外…,,,Trương Viễn / 张远,李若晨,"Hoa Ngữ, Nhạc Phim",Believe
Hải Đường Niệm (Phong Nguyệt Vô Biên OST) (Single) / 海棠念 (网剧《风月无边》片尾曲) (Single),Hải Đường Niệm (Phong…,,,Tiểu Thời Cô Nương / 小时姑娘,Tiểu Thời Cô Nương / 小时姑娘,"Hoa Ngữ, Nhạc Phim",Believe
《永夜星河》影视原声大碟,重塑,,,Đô Trí Văn / 都智文,,"Hoa Ngữ, Nhạc Phim",Believe
《永夜星河》影视原声大碟,凝眸 (对唱版),,,"Trương Viễn / 张远, Vương Tâm Lăng / 王心凌",,"Hoa Ngữ, Nhạc Phim",Believe
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Thương Lan Khế / 蒼蘭契…,,,李常超,陳恬,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Validate…,,,Teloupe,HWANG YONG JU,"Hoa Ngữ, Nhạc Phim",Rock Mobile
《白月梵星》影视原声带,爱不悔（《白月梵星》影视剧…,,,井胧,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
《白月梵星》影视原声带,不要想念（《白月梵星》影视…,,,"白鹿, 敖瑞鹏",衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Niệm / 念…,,,雙笙,鄧舒月,"Hoa Ngữ, Nhạc Phim",Rock Mobile
《白月梵星》影视原声带,月下（《白月梵星》影视剧插…,,,不才,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Vi Thế Giới (Đại Minh Dưới Kính Hiển Vi OST) / 微世界 (網路劇《顯微鏡下的大明之絲絹案》片尾曲) (Single),Vi Thế Giới (Đại Minh Dưới…,,,Lưu Vũ Ninh / 摩登兄弟刘宇宁,丁爽,"Hoa Ngữ, Nhạc Phim",Rock Mobile
《白月梵星》影视原声带,月光曲（《白月梵星》影视剧…,,,陆虎,衣睿,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
留白是表白 (電視劇《與君初相識》片頭曲) (Single),Lời Bộc Bạch Khó Nói /…,,,金志文,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
電視劇《與君初相識》原聲帶,如你所想 (伴奏女版),,,Tát Đỉnh Đỉnh / 薩頂頂,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
如你所想 (電視劇《與君初相識》愛情主題曲) (Single),Như Nàng Nghĩ / 如你所想…,,,Tát Đỉnh Đỉnh / 薩頂頂,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
网剧《对我而言危险的他》原声带,黑曜（网剧《对我而言危险的…,,,袁莉媛,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
《永夜星河》影视原声大碟,凝眸,,,丁禹兮,,"Hoa Ngữ, Nhạc Phim",Believe
网剧《对我而言危险的他》原声带,Call out to…,,,汪茜,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
Trường Nguyệt Tẫn Minh OST (Single),Lần Đầu Yêu Một Người…,,,张磊,谭旋,"Hoa Ngữ, Nhạc Phim",Taihe Music Group
暖色 (影视剧《惜花芷》插曲) (Single),暖色 (影视剧《惜花芷》插曲),,,Tiết Khải Kỳ / 薛凯琪,HWANG YONG JU,"Hoa Ngữ, Nhạc Phim",Believe
電視劇《與君初相識》原聲帶,魚躍而上 (伴奏版),,,Tát Đỉnh Đỉnh / 薩頂頂,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
《永夜星河》影视原声大碟,澎湃,,,虞书欣,,"Hoa Ngữ, Nhạc Phim",Believe
网剧《对我而言危险的他》原声带,镜中窥我（网剧《对我而言危…,,,邓佳坤,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
Hoa Rơi Vào Tim (Tích Hoa Chỉ OST) (Single)/ 落在心上的花 (影视剧《惜花芷》插曲) (Single),Hoa Rơi Vào Tim (Tích Hoa…,,,Trương Viễn / 张远,"Melography, Solshine, JAYDOPE","Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Bảo Hộ / 守护,,,Hoàng Ỷ San / 黄绮珊,刘祎,"Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Phân Vân / 纷纷,,,Thẩm Dĩ Thành / 沈以誠,"栾赫, 黄一","Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Như Mộng / 如梦,,,Trương Kiệt / 張杰,"乐逸帆, 黄一","Hoa Ngữ, Nhạc Phim",Believe
《永夜星河》影视原声大碟,寄明月,,,"虞书欣, 丁禹兮, 祝绪丹, 杨仕泽, 费启鸣",,"Hoa Ngữ, Nhạc Phim",Believe
《永夜星河》影视原声大碟,凝眸,,,Vương Tâm Lăng / 王心凌,,"Hoa Ngữ, Nhạc Phim",Believe
微短剧《结婚吗？好的！》原声带,荧惑守星（微短剧《结婚吗？…,,,赵奂然,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
敢问路在何方 (Tây Du Ký Ost 1986) (Single),敢问路在何方 (Tây Du Ký Ost…,61,3K,Châu Gia Chuyển,Hứa Kính Thanh,"Hoa Ngữ, Nhạc Phim",MIXUS
花印 (影视剧《惜花芷》插曲) (Single),花印 (影视剧《惜花芷》插曲),,,"MIKA米卡, Lại Mỹ Vân / 赖美云","JAYDOPE, Moon Yeon","Hoa Ngữ, Nhạc Phim",Believe
《永夜星河》影视原声大碟,无瑕,,,李琦,哈也,"Hoa Ngữ, Nhạc Phim",Believe
微短剧《结婚吗？好的！》原声带,坠入爱河（微短剧《结婚吗？…,,,周典奥,周典奥,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
微短剧《结婚吗？好的！》原声带,爱不单行（微短剧《结婚吗？…,,,特浓小旺仔,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
《永夜星河》影视原声大碟,永夜之前,,,Hy Lâm Na Y Cao / 希林娜依·高,陈恬,"Hoa Ngữ, Nhạc Phim",Believe
電視劇《與君初相識》原聲帶,鮫人之歌 (伴奏版),,,Châu Thâm / 周深,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Bạch Nguyệt Hoa Hồng /…,,,李琦,"刘烨潍, 熊堃","Hoa Ngữ, Nhạc Phim",Believe
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Mất Đi Ký Ức (Beat) / 失憶…,,,Ngu Thư Hân / Esther Yu,陳帥,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Bỉ Ngạn (Beat) / 彼岸…,,,"Tỉnh Lung / 井朧, Tỉnh Địch / 井迪",陳恬,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,Ngay Tại Chốn Giang Hồ…,,,Lưu Vũ Ninh / 摩登兄弟刘宇宁,严艺丹,"Hoa Ngữ, Nhạc Phim",Believe
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Ta Vẫn Nhớ Ngày Hôm Ấy…,,,Thẩm Dĩ Thành / 沈以誠,Đô Trí Văn / 都智文,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Flower Road,,,"黃宇弘, 金大洲","黃宇弘, 金大洲","Hoa Ngữ, Nhạc Phim",Rock Mobile
電視劇《與君初相識》原聲帶,如你所想 (伴奏男版),,,Mao Bất Dịch / 毛不易,,"Hoa Ngữ, Pop, Nhạc Phim",Rock Mobile
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,一晌 (伴奏),,,Châu Thâm / 周深,刘祎,"Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,如梦 (伴奏),,,Trương Kiệt / 張杰,"乐逸帆, 黄一","Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Nếu Người Cũng Nghe…,,,袁娅维,哈也,"Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,守护 (伴奏),,,Hoàng Ỷ San / 黄绮珊,刘祎,"Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Chỉ Có Người / 只你,,,颜人中,"陈恬, 黄一","Hoa Ngữ, Nhạc Phim",Believe
网剧《对我而言危险的他》原声带,Call out to…,,,汪茜,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,纷纷 (伴奏),,,Thẩm Dĩ Thành / 沈以誠,"栾赫, 黄一","Hoa Ngữ, Nhạc Phim",Believe
Thương Lan Quyết (OST) / 影視劇《蒼蘭訣》原聲帶,Niệm (Beat) / 念…,,,雙笙,鄧舒月,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,念破人世太匆忙…,,,"严艺丹, 薛琳可","严艺丹, 薛琳可","Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Ôm Nhau / 相拥,,,Hồ Hạ / 胡夏,王耀光,"Hoa Ngữ, Nhạc Phim",Believe
网剧《对我而言危险的他》原声带,黑曜（网剧《对我而言危险的…,,,"邓佳坤, 袁莉媛, 汪茜",郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,白月花红 (伴奏),,,李琦,"刘烨潍, 熊堃","Hoa Ngữ, Nhạc Phim",Believe
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,Một Bình Rượu Liên Hoa…,,,Hồ Hạ / 胡夏,严艺丹,"Hoa Ngữ, Nhạc Phim",Believe
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,无畏人世太匆忙…,,,"严艺丹, 薛琳可","严艺丹, 薛琳可","Hoa Ngữ, Nhạc Phim",Believe
一起喝的酒（网络剧《我叫赵甲第》插曲） (Single),一起喝的酒（网络剧《我叫赵…,,,贺鹏,刘隽皓,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
